0	-nan	-nan	-nan	
3.49	1.02214	0.264954	0.0684142	
3.5	1.02524	0.265501	0.0680501	
3.51	1.02845	0.266132	0.0676917	
3.52	1.0318	0.266889	0.0673575	
3.53	1.03521	0.267614	0.06701	
3.54	1.03871	0.268341	0.066701	
3.55	1.04231	0.269051	0.0664334	
3.56	1.04602	0.269784	0.0662479	
3.57	1.04975	0.270664	0.0660887	
3.58	1.05341	0.271468	0.0658424	
3.59	1.05719	0.272235	0.0656621	
3.6	1.06096	0.273117	0.0654988	
3.61	1.06469	0.274054	0.0652844	
3.62	1.06848	0.274848	0.0651376	
3.63	1.07233	0.275518	0.0650358	
3.64	1.07624	0.276079	0.064974	
3.65	1.08015	0.27664	0.0649032	
3.66	1.08405	0.277188	0.0648352	
3.67	1.08798	0.27754	0.0648313	
3.68	1.09197	0.277813	0.0648516	
3.69	1.09597	0.27804	0.0648443	
3.7	1.09997	0.278158	0.0648013	
3.71	1.10402	0.278097	0.0647318	
3.72	1.10815	0.277835	0.0646427	
3.73	1.11234	0.277387	0.0645269	
3.74	1.11661	0.276697	0.0644515	
3.75	1.12095	0.27574	0.064512	
3.76	1.12535	0.274527	0.0647077	
3.77	1.12981	0.273036	0.0650372	
3.78	1.13434	0.271245	0.065509	
3.79	1.13894	0.269123	0.0661251	
3.8	1.1436	0.266642	0.0668858	
3.81	1.14831	0.26376	0.067797	
3.82	1.15303	0.260427	0.0689057	
3.83	1.15774	0.256599	0.0702431	
3.84	1.16242	0.252179	0.0717978	
3.85	1.16704	0.247157	0.0735603	
3.86	1.17159	0.241498	0.0755267	
3.87	1.17518	0.238254	0.0768697	
3.88	1.17706	0.241071	0.0766902	
3.89	1.179	0.24348	0.076519	
3.9	1.18092	0.24495	0.0765172	
3.91	1.18269	0.245928	0.0765474	
3.92	1.18415	0.246845	0.0766085	
3.93	1.18546	0.247691	0.076785	
3.94	1.18664	0.24845	0.0770785	
3.95	1.18767	0.249141	0.0774682	
3.96	1.18856	0.249534	0.0781639	
3.97	1.18947	0.249442	0.0790858	
3.98	1.19048	0.249216	0.0798087	
3.99	1.19154	0.248913	0.080249	
4	1.1926	0.248473	0.0804682	
4.01	1.19363	0.247871	0.0804349	
4.02	1.19457	0.247093	0.0802255	
4.03	1.19539	0.246005	0.0800488	
4.04	1.19675	0.246009	0.0801741	
4.05	1.19855	0.246247	0.0803312	
4.06	1.20068	0.246418	0.0804786	
4.07	1.20309	0.24657	0.0806456	
4.08	1.20569	0.246833	0.0808633	
4.09	1.20844	0.247095	0.0810903	
4.1	1.21134	0.247374	0.0813524	
4.11	1.21435	0.247575	0.0816175	
4.12	1.21752	0.247738	0.0819029	
4.13	1.22084	0.247923	0.0821841	
4.14	1.22425	0.248018	0.0825191	
4.15	1.22775	0.248048	0.0828693	
4.16	1.23133	0.248002	0.0832317	
4.17	1.23506	0.248075	0.0835474	
4.18	1.23884	0.248127	0.0838312	
4.19	1.24279	0.248333	0.0839294	
4.2	1.24657	0.248123	0.0843002	
4.21	1.25055	0.247986	0.0845557	
4.22	1.25469	0.247981	0.0845846	
4.23	1.25886	0.248047	0.0845346	
4.24	1.26301	0.248135	0.0844947	
4.25	1.26716	0.248167	0.0844523	
4.26	1.27131	0.248165	0.0843962	
4.27	1.27545	0.24812	0.0843351	
4.28	1.2796	0.248008	0.0842626	
4.29	1.28375	0.247805	0.0841732	
4.3	1.28791	0.247505	0.0840705	
4.31	1.29209	0.247103	0.0839636	
