0	-nan	-nan	-nan	
1.85	-0.0342092	-0.0140758	-0.28976	
1.86	-0.038543	-0.0187934	-0.295167	
1.87	-0.0438674	-0.0245316	-0.300166	
1.88	-0.050237	-0.0313424	-0.304765	
1.89	-0.0555833	-0.0380449	-0.308614	
1.9	-0.0510963	-0.0387206	-0.30912	
1.91	-0.0459095	-0.0369881	-0.309107	
1.92	-0.0437237	-0.032553	-0.308153	
1.93	-0.0417106	-0.0260714	-0.306111	
1.94	-0.0385414	-0.0203329	-0.30438	
1.95	-0.0356098	-0.0171713	-0.303798	
1.96	-0.033578	-0.0151711	-0.303061	
1.97	-0.0313244	-0.0129194	-0.301181	
1.98	-0.0293274	-0.0107926	-0.298492	
1.99	-0.0275279	-0.00886641	-0.295242	
2	-0.0259912	-0.00720171	-0.291426	
2.01	-0.0247098	-0.00586544	-0.287026	
2.02	-0.0237071	-0.00472649	-0.282039	
2.03	-0.0228541	-0.00385094	-0.276536	
2.04	-0.0220332	-0.00326842	-0.270601	
2.05	-0.0211167	-0.00291846	-0.264395	
2.06	-0.0199185	-0.00266387	-0.258331	
2.07	-0.0184126	-0.00254331	-0.252512	
2.08	-0.0165697	-0.00255721	-0.246952	
2.09	-0.0143795	-0.00269751	-0.241667	
2.1	-0.0118625	-0.00297616	-0.236564	
2.11	-0.00910738	-0.00345283	-0.231496	
2.12	-0.00619668	-0.00402617	-0.226493	
2.13	-0.00308424	-0.00478036	-0.221678	
2.14	0.000384211	-0.00573427	-0.217307	
2.15	0.00424014	-0.00685705	-0.213579	
2.16	0.00843026	-0.00812093	-0.210554	
2.17	0.0127849	-0.0094592	-0.208103	
2.18	0.0171291	-0.0107024	-0.206227	
2.19	0.0211592	-0.0113844	-0.204787	
2.2	0.0248899	-0.0117686	-0.20385	
2.21	0.0245453	-0.0110869	-0.198075	
2.22	0.0218983	-0.0099136	-0.188483	
2.23	0.0195144	-0.00827928	-0.17782	
2.24	0.0171786	-0.00604366	-0.167127	
2.25	0.0146898	-0.00323869	-0.156795	
2.26	0.0119687	0.000111599	-0.146464	
2.27	0.00875129	0.00347429	-0.135726	
2.28	0.00522516	0.00840532	-0.125066	
2.29	0.000817075	0.0145592	-0.114256	
2.3	-0.00439847	0.0218134	-0.103299	
2.31	-0.0103835	0.0300552	-0.0922076	
2.32	-0.0170814	0.0391283	-0.0809994	
2.33	-0.0244615	0.0489294	-0.0696859	
2.34	-0.0324188	0.0592413	-0.0582858	
2.35	-0.0408667	0.069918	-0.0468349	
2.36	-0.0494541	0.0804199	-0.0354916	
2.37	-0.057163	0.0888432	-0.0241904	
2.38	-0.0646568	0.096492	-0.0130023	
2.39	-0.0701679	0.100998	-0.00144912	
2.4	-0.0746462	0.104309	0.00976188	
2.41	-0.076576	0.10312	0.0226043	
2.42	-0.0751989	0.0990815	0.0364083	
2.43	-0.0721304	0.0926543	0.0511108	
2.44	-0.0666019	0.0840047	0.066183	
2.45	-0.0605384	0.0746209	0.0804847	
2.46	-0.0529522	0.0637551	0.0943685	
2.47	-0.0446062	0.0531906	0.106314	
2.48	-0.035135	0.0419489	0.116932	
2.49	-0.0259862	0.0310504	0.125356	
2.5	-0.0188666	0.0190755	0.132693	
2.51	-0.015189	0.0153751	0.13696	
2.52	-0.0161772	0.01364	0.140152	
2.53	-0.0175974	0.0106666	0.142322	
2.54	-0.0117526	0.00789679	0.144456	
2.55	-0.00770531	0.00582305	0.145955	
2.56	-0.00538438	0.00461524	0.14706	
2.57	-0.00376663	0.00358871	0.147902	
2.58	-0.00272276	0.00289003	0.148129	
2.59	-0.00226946	0.00271516	0.14784	
2.6	-0.00243278	0.0031393	0.146991	
2.61	-0.00295259	0.00398347	0.145755	
2.62	-0.00344586	0.00482858	0.144111	
2.63	-0.00390986	0.00567011	0.142019	
2.64	-0.00440882	0.00658426	0.139433	
2.65	-0.00484009	0.00748316	0.136337	
2.66	-0.00525891	0.00834996	0.132806	
2.67	-0.00578178	0.00907236	0.129323	
2.68	-0.00650639	0.00979655	0.125505	
2.69	-0.00758231	0.0105029	0.121424	
2.7	-0.00895185	0.0110105	0.116945	
2.71	-0.0106724	0.0114303	0.112291	
2.72	-0.0127644	0.0118053	0.107598	
2.73	-0.014912	0.013114	0.102947	
2.74	-0.0176808	0.0131514	0.0985029	
2.75	-0.0206121	0.0133446	0.094221	
2.76	-0.0238649	0.0136598	0.0901903	
2.77	-0.0276002	0.0141404	0.0865574	
2.78	-0.03178	0.0145816	0.083239	
2.79	-0.0362583	0.014991	0.0799987	
2.8	-0.040863	0.0156813	0.0768654	
2.81	-0.0453195	0.0170772	0.0742168	
2.82	-0.0493614	0.0189935	0.0720453	
2.83	-0.0531356	0.0215964	0.0699955	
2.84	-0.05662	0.0249205	0.0684066	
2.85	-0.0590788	0.0288806	0.0667421	
2.86	-0.0574565	0.0334998	0.0630979	
2.87	-0.0553604	0.0376694	0.0577004	
2.88	-0.0527089	0.0422277	0.0510008	
2.89	-0.0494071	0.0474106	0.0429211	
2.9	-0.0458961	0.0526022	0.0338412	
2.91	-0.0418387	0.0582532	0.0248133	
2.92	-0.0377532	0.0637292	0.0158655	
2.93	-0.03406	0.0683803	0.00668978	
2.94	-0.0301793	0.0730375	-0.00227062	
2.95	-0.0266806	0.0770189	-0.0114333	
2.96	-0.0232544	0.0806545	-0.0204299	
2.97	-0.0200248	0.0838812	-0.0292993	
2.98	-0.0168542	0.0868057	-0.0380292	
2.99	-0.0137131	0.0897121	-0.0465976	
3	-0.0107952	0.0922182	-0.0550793	
3.01	-0.00776477	0.0947173	-0.0633329	
3.02	-0.00476022	0.097154	-0.0713767	
3.03	-0.00221072	0.0990558	-0.0792231	
3.04	-0.00121123	0.0990079	-0.0872276	
3.05	-0.000421749	0.0985715	-0.0945678	
3.06	-1.015e-06	0.0977168	-0.101467	
3.07	-0.000142005	0.0962639	-0.108007	
3.08	-0.000929526	0.0941245	-0.114163	
3.09	-0.00248995	0.0911915	-0.119916	
3.1	-0.00508427	0.0874106	-0.125236	
3.11	-0.00841918	0.0827045	-0.130158	
3.12	-0.0126794	0.0770225	-0.134654	
3.13	-0.0180303	0.0703063	-0.138737	
3.14	-0.0244859	0.0625291	-0.142387	
3.15	-0.032064	0.0536614	-0.145623	
3.16	-0.0408097	0.0436462	-0.148473	
3.17	-0.0507569	0.0324286	-0.150964	
3.18	-0.0619183	0.0199658	-0.1531	
3.19	-0.0743266	0.00616262	-0.154824	
3.2	-0.0755894	0.00131898	-0.156715	
3.21	-0.0762986	0.000944332	-0.157857	
3.22	-0.0760848	0.00181813	-0.157725	
3.23	-0.0751599	0.00272964	-0.156388	
3.24	-0.0742956	0.00367622	-0.154732	
3.25	-0.0733759	0.00472893	-0.152446	
3.26	-0.0725721	0.00575593	-0.149385	
3.27	-0.0720646	0.00681364	-0.145521	
3.28	-0.0714166	0.00781902	-0.140955	
3.29	-0.0704829	0.00875598	-0.135769	
3.3	-0.0694172	0.00966383	-0.129963	
3.31	-0.0681239	0.0104221	-0.124124	
3.32	-0.0665718	0.0108627	-0.118446	
3.33	-0.0647173	0.0109568	-0.113008	
3.34	-0.064759	0.0106597	-0.109096	
3.35	-0.0659999	0.0102978	-0.107564	
3.36	-0.06708	0.00985485	-0.105487	
3.37	-0.0680227	0.00926081	-0.102542	
3.38	-0.0688384	0.0086079	-0.0986746	
3.39	-0.0695535	0.00789073	-0.0939258	
3.4	-0.0701835	0.00708056	-0.0883773	
3.41	-0.0707242	0.00621325	-0.0820849	
3.42	-0.0712227	0.00536162	-0.075033	
3.43	-0.0717603	0.00465422	-0.0672563	
3.44	-0.0723745	0.00420647	-0.0589164	
3.45	-0.0731015	0.00409571	-0.0498745	
3.46	-0.0739782	0.00431287	-0.040474	
3.47	-0.0749705	0.00477897	-0.0308122	
3.48	-0.0760087	0.00531883	-0.0209043	
3.49	-0.0770139	0.00600212	-0.0107605	
3.5	-0.0781351	0.0067791	-0.000376647	
3.51	-0.0795216	0.0080887	0.00997274	
3.52	-0.0814516	0.0102522	0.0201331	
3.53	-0.0831807	0.0120191	0.0304522	
3.54	-0.0850173	0.0138001	0.0406429	
3.55	-0.0869124	0.0154922	0.0506884	
3.56	-0.089322	0.0175917	0.0602955	
3.57	-0.0927952	0.0209361	0.0695227	
3.58	-0.095274	0.023089	0.0792729	
3.59	-0.0979648	0.0251613	0.0886238	
3.6	-0.101415	0.0280451	0.0976338	
3.61	-0.104952	0.0309698	0.106692	
3.62	-0.107574	0.0327429	0.115552	
