0.56	2.9581e-06	1.75201e-07	-1.56881	-1.74487e-07	-0.00114575	1.08759e-06	-1.56886	-1.51462e-06	7.29477e-05	7.83639e-07	1.56833	-9.35078e-07	-0.000185986	5.09019e-08	1.56872	1.38947e-09	-5.98975e-06	3.46056e-05	
0.57	2.64837e-06	1.21e-07	-1.56904	-1.46103e-07	-0.00101413	1.06823e-06	-1.56908	-1.51163e-06	6.48849e-05	8.38781e-07	1.56861	-9.50483e-07	-0.000164512	5.69916e-08	1.56896	1.12476e-09	-5.3935e-06	3.08278e-05	
0.58	2.33801e-06	6.88414e-08	-1.56924	-1.35511e-07	-0.000897714	1.10449e-06	-1.56928	-1.5227e-06	5.78098e-05	9.36847e-07	1.56887	-9.69835e-07	-0.00014551	6.30021e-08	1.56917	9.14698e-10	-4.93177e-06	2.74711e-05	
0.59	2.05444e-06	4.14229e-08	-1.56942	-1.2857e-07	-0.000794727	1.13354e-06	-1.56945	-1.53466e-06	5.15696e-05	1.00293e-06	1.56909	-9.82457e-07	-0.000128697	-6.66859e-08	1.56936	7.389e-10	-4.53845e-06	2.44821e-05	
0.6	1.80446e-06	2.76782e-08	-1.56958	-1.24098e-07	-0.000703609	1.15044e-06	-1.56961	-1.54382e-06	4.60468e-05	1.04991e-06	1.56929	-9.93057e-07	-0.000113823	6.83164e-08	1.56952	5.83129e-10	-4.18185e-06	2.18395e-05	
0.61	1.58609e-06	-2.60651e-08	-1.56972	-1.22076e-07	-0.000622991	1.15868e-06	-1.56975	-1.55011e-06	4.1154e-05	1.08607e-06	1.56946	-1.00114e-06	-0.000100663	-6.8876e-08	1.56967	4.43197e-10	-3.85561e-06	1.95058e-05	
0.62	1.39381e-06	-3.5149e-08	-1.56984	-1.21464e-07	-0.000551663	1.16314e-06	-1.56987	-1.55454e-06	3.68216e-05	1.11766e-06	1.56961	-1.00646e-06	-8.90206e-05	6.88131e-08	1.5698	3.17235e-10	-3.56167e-06	1.74438e-05	
0.63	1.22285e-06	-4.69067e-08	-1.56995	-1.20942e-07	-0.000488556	1.16752e-06	-1.56997	-1.55831e-06	3.29892e-05	1.14731e-06	1.56975	-1.01042e-06	-7.87202e-05	-6.87395e-08	1.56992	2.05296e-10	-3.30238e-06	1.56199e-05	
0.64	1.07094e-06	-5.87434e-08	-1.57005	-1.20423e-07	-0.000432724	1.17222e-06	-1.57007	-1.56172e-06	2.95996e-05	1.17521e-06	1.56987	-1.01408e-06	-6.9607e-05	6.86885e-08	1.57002	1.06589e-10	-3.07438e-06	1.40069e-05	
0.65	9.35973e-07	-6.99143e-08	-1.57014	-1.1997e-07	-0.000383327	1.17697e-06	-1.57015	-1.5648e-06	2.66016e-05	1.20113e-06	1.56998	-1.01753e-06	-6.15443e-05	-6.86667e-08	1.57011	2.26187e-11	-2.87385e-06	1.25804e-05	
